HORA,Carvajal-Sevillana,CDAR,Fontibon,Guaymaral,Kennedy,Las Ferias,Min. Abiente,Puente Aranda,San Cristobal,Suba,Tunal,Usaquen
01:00:00 AM,29.5191285866,12.435499515,18.8075577327,7.871657754,17.735725938,19.8653846154,21.4683417085,23.7030567686,18.0125786164,15.4298969072,12.0834248079,13.753323486
02:00:00 AM,25.39445629,12.5116504854,17.6883870968,7.7003367003,17.4460431655,19.9452160494,20.5422832981,21.2629382304,16.3437125749,14.4480392157,11.5879120879,13.5598227474
03:00:00 AM,22.8371596369,11.444338725,16.2692837466,7.5704225352,16.4936247723,18.5539177657,20.1692627207,21.2015503876,15.9042145594,13.7577319588,11.6622073579,13.1491875923
04:00:00 AM,21.8079186731,11.2156862745,15.5430183357,7.6258389262,16.5242369838,18.7978478094,20.4545454545,21.9161073826,15.7206632653,13.3112919634,11.2921225383,13.2311111111
05:00:00 AM,23.4656366542,10.6370439663,15.2690909091,7.6952554745,17.4889267462,20.3818181818,22.0101522843,24.6119027661,15.7455696203,13.4108053007,11.4690949227,12.983310153
06:00:00 AM,29.5301268499,10.7112546125,15.4450474898,7.8421985816,21.41,24.157635468,27.2294238683,31.0288924559,19.8215102975,16.447858473,12.619,15.3471563981
07:00:00 AM,38.0353375527,12.4571428571,19.2150537634,8.1247803163,26.1791530945,27.7672354949,32.8321747766,37.6695652174,23.8453276047,20.1582978723,15.5286624204,19.3102725367
08:00:00 AM,42.2751713231,14.4012974977,24.3598130841,7.9980119284,27.4861538462,28.5240753664,34.9212598425,39.5635767022,25.3489409142,20.745470233,20.2390331244,25.1576086957
09:00:00 AM,39.6712328767,14.4820415879,24.36713055,8.1462962963,23.5129770992,24.1828275352,32.4844357977,35.1081307628,23.93,20.6160877514,21.8671519563,27.5612009238
10:00:00 AM,34.1036878675,14.1771321462,22.6597938144,7.9612546125,20.131092437,19.4754625905,26.4604604605,27.7295960429,22.1430051813,19.7294938918,20.8767908309,24.2460984394
11:00:00 AM,29.5266272189,13.0175801448,18.9768095573,7.8733944954,16.6887298748,16.6069023569,22.2087227414,23.0629660315,19.0245810056,17.8550185874,17.1381100727,21.2981770833
12:00:00 PM,27.6742424242,11.3066933067,17.3015873016,8.0174757282,15.4019047619,15.4104410441,20.4470954357,21.9096283784,18.9270833333,16.0507518797,15.3787047201,18.1595174263
01:00:00 PM,26.5729671513,11.7825651303,16.99375,8.0166051661,14.4279835391,15.4153414406,20.0410199557,21.7405857741,18.245215311,16.0902325581,15.0812064965,17.7345013477
02:00:00 PM,26.535944206,12.0798786653,18.1093023256,7.9566929134,15.0020920502,15.768563163,19.5544768069,21.0256198347,19.0011655012,17.026119403,15.0045819015,17.6104417671
03:00:00 PM,27.0047948855,11.6477927063,18.1047040971,7.6642201835,15.5708582834,16.6087804878,18.7097107438,20.8550474547,18.7872340426,17.1369102683,15.6115427303,17.7053824363
04:00:00 PM,27.3732840549,11.5892494929,17.6399406088,7.8759259259,15.1944444444,16.6992882562,18.8529411765,20.2491408935,18.3040614709,17.3683223993,15.7541345094,18.6676217765
05:00:00 PM,28.0504731861,11.863,18.817037037,7.820415879,15.8097826087,16.9501267963,18.761485826,20.5665236052,19.0067873303,17.8697247706,16.1288056206,19.0625889047
06:00:00 PM,28.9027850762,12.6526526527,18.5061643836,7.8640595903,15.6458715596,17.3277972028,19.5740365112,20.8445723684,18.6789587852,18.1355311355,16.0523504274,18.8781512605
07:00:00 PM,30.8209424084,12.1306347746,18.250338295,7.6272727273,16.1844484629,17.4831168831,20.9073881374,22.0532003325,18.2646370023,17.6801579467,16.0992761117,18.1315436242
08:00:00 PM,33.1420365535,11.8341323106,18.0281491907,7.7039007092,18.1474820144,18.8217179903,21.821086262,23.8348547718,18.552866242,17.0666666667,15.2024048096,17.4311454311
09:00:00 PM,35.9419152276,11.8563586459,18.3959778086,7.7372262774,19.057660626,19.6555209953,23.70951417,24.8165975104,18.8808933002,16.487628866,14.5047709924,15.8743523316
10:00:00 PM,36.6455497382,11.8309222423,18.4569629111,7.6694772344,20.1140939597,20.256664128,25.0413650465,26.3111658456,18.9751552795,16.118852459,14.0049455984,15.2277227723
11:00:00 PM,35.9362486828,12.1474953618,18.3910652921,7.9128113879,20.2815198618,20.4489489489,23.75,25.8068635275,18.6683107275,15.1401960784,13.2861328125,14.8376068376
12:00:00 AM,33.672842774,12.0768509841,18.4303448276,7.8071428571,19.2797927461,20.3878326996,22.8399592253,24.5279605263,18.3557814485,14.5216952573,12.8293444329,14.3350318471
